Time,XPos,ZPos,YRot,Raycast
34.86909,0,0,0,Wound
35.03701,0,0,0,Wound
35.20025,0,0,0,Wound
35.3631,0,0,0,Wound
35.53128,0,0,0,Wound
35.69321,0,0,0,Wound
35.86049,0,0,0,Wound
36.02347,0,0,0,Wound
36.19102,0,0,0,Wound
36.35656,0,0,0,Wound
36.51673,0,0,0,Wound
36.68964,0,0,0,Wound
36.84793,0,0,0,Wound
37.00807,0,0,0,Wound
37.17734,0,0,0,Wound
37.34505,0,0,0,Wound
37.52688,0,0,0,Wound
37.69542,0,0,0,Wound
37.85625,0,0,0,Wound
38.02195,0,0,0,Wound
38.18241,0,0,0,Wound
38.34118,0,0,0,Wound
38.50303,0,0,0,Wound
38.6651,0,0,0,Story
38.83142,0,0,0,Story
39.00051,0,0,0,Story
39.16378,0,0,0,Story
39.32679,0,0,0,Story
39.4845,0,0,0,Story
39.6497,0,0,0,Story
39.80795,0,0,0,Story
39.96688,0,0,0,Story
40.12552,0,0,0,Story
40.28534,0,0,0,Story
40.44622,0,0,0,Story
40.61462,0,0,0,Story
40.78079,0,0,0,Wound
40.94854,0,0,0,Wound
41.10611,0,0,0,Wound
41.26501,0,0,0,Wound
41.4251,0,0,0,Wound
41.58494,0,0,0,Wound
41.74832,0,0,0,Wound
41.91247,0,0,0,Story
42.07405,0,0,0,Story
42.23705,0,0,0,Story
42.39518,0,0,0,Story
42.55683,0,0,0,Story
42.72178,0,0,0,Story
42.87959,0,0,0,Story
43.0397,0,0,0,Story
43.20314,0,0,0,Story
43.36801,0,0,0,Story
43.52694,0,0,0,Story
43.6861,0,0,0,Story
43.84491,0,0,0,Story
44.00346,0,0,0,Story
44.16482,0,0,0,Story
44.32885,0,0,0,Story
44.48652,0,0,0,Story
44.64911,0,0,0,Story
44.81435,0,0,0,Story
44.97919,0,0,0,Story
45.14134,0,0,0,Story
45.30563,0,0,0,Story
45.47067,0,0,0,Story
45.63387,0,0,0,Story
45.79388,0,0,0,Story
45.95267,0,0,0,Story
46.1166,0,0,0,Wound
46.27845,0,0,0,Wound
46.43705,0,0,0,Wound
46.59882,0,0,0,Wound
46.76392,0,0,0,Wound
46.92667,0,0,0,Wound
47.09472,0,0,0,Story
47.25879,0,0,0,Story
47.42456,0,0,0,Story
47.58326,0,0,0,Story
47.7458,0,0,0,Story
47.90661,0,0,0,Story
48.06581,0,0,0,Story
48.22645,0,0,0,Story
48.38686,0,0,0,Story
48.54688,0,0,0,Story
48.71248,0,0,0,Story
48.87386,0,0,0,Story
49.03902,0,0,0,Story
49.19921,0,0,0,Story
49.36276,0,0,0,Wound
49.52321,0,0,0,Wound
49.68666,0,0,0,Wound
49.84517,0,0,0,Wound
50.00914,0,0,0,Wound
50.17376,0,0,0,Wound
50.33464,0,0,0,Wound
50.49328,0,0,0,Wound
50.65737,0,0,0,Wound
50.81621,0,0,0,Wound
50.97424,0,0,0,Wound
51.1388,0,0,0,Wound
51.299,0,0,0,Wound
51.45916,0,0,0,Wound
51.61626,0,0,0,Wound
51.7796,0,0,0,Wound
51.94123,0,0,0,Wound
52.10396,0,0,0,Wound
52.26625,0,0,0,Wound
52.42818,0,0,0,Wound
52.59426,0,0,0,Wound
52.75571,0,0,0,Wound
52.92353,0,0,0,Wound
53.08508,0,0,0,Wound
53.25581,0,0,0,Wound
53.4211,0,0,0,Wound
53.61369,0,0,0,Wound
53.784,0,0,0,Wound
53.9511,0,0,0,Wound
54.11234,0,0,0,Wound
54.27971,0,0,0,Wound
54.44397,0,0,0,Wound
54.60476,0,0,0,Wound
54.77071,0,0,0,Wound
54.93947,0,0,0,Wound
55.09945,0,0,0,Wound
55.26278,0,0,0,Wound
55.42715,0,0,0,Wound
55.5913,0,0,0,Wound
55.75203,0,0,0,Wound
55.91119,0,0,0,Wound
56.07888,0,0,0,Story
56.24577,0,0,0,Story
56.40417,0,0,0,Story
56.56334,0,0,0,Story
56.72424,0,0,0,Story
56.88245,0,0,0,Story
57.04526,0,0,0,Story
57.20658,0,0,0,Story
57.3764,0,0,0,Story
57.53742,0,0,0,Story
57.70072,0,0,0,Story
57.85924,0,0,0,Story
58.02108,0,0,0,Story
58.18446,0,0,0,Story
58.34816,0,0,0,Story
58.51,0,0,0,Story
58.67487,0,0,0,Story
58.84251,0,0,0,Story
59.00689,0,0,0,Story
59.17483,0,0,0,Wound
59.33606,0,0,0,Wound
59.49608,0,0,0,Wound
59.65816,0,0,0,Wound
59.82227,0,0,0,Wound
59.99171,0,0,0,Wound
60.15734,0,0,0,Wound
60.31938,0,0,0,Wound
60.48661,0,0,0,Wound
60.65129,0,0,0,Wound
60.81008,0,0,0,Wound
60.97458,0,0,0,Wound
61.14085,0,0,0,Wound
61.30764,0,0,0,Wound
61.47478,0,0,0,Wound
61.63739,0,0,0,Wound
61.79663,0,0,0,Wound
