Hand,XPos,YPos,ZPos,Time
Right,0,0,0,2.450348
Left,-0.896,0,0,2.475205
Right,0,0,0,2.475205
Left,-0.351,0,0,2.500214
Right,0,0,0,2.500214
Left,0.351,0,0,2.526021
Right,0,0,0,2.526021
Left,0.908,0,0,2.551051
Right,0,0,0,2.551051
Left,1.151,0,0,2.577214
Right,0,0,0,2.577214
Left,1.184,0,0,2.60872
Right,0,0,0,2.60872
Left,1.184,0,0,2.627376
Right,0,0,0,2.627376
Left,1.184,0,0,2.647062
Right,0,0,0,2.647062
Left,1.184,0,0,2.667101
Right,0,0,0,2.667101
Left,1.184,0,0,2.687248
Right,0,0,0,2.687248
Left,1.184,0,0,2.706416
Right,0,0,0,2.706416
Left,1.18,0,0,2.729599
Right,0,0,0,2.729599
Left,0.893,0,0,2.766628
Right,0,0,0,2.766628
Left,0.271,0,0,2.796812
Right,0,0,0,2.796812
Left,-0.421,0,0,2.823671
Right,0,0,0,2.823671
Left,-0.759,0,0,2.849667
Right,0,0,0,2.849667
Left,-0.825,0,0,2.873884
Right,0,0,0,2.873884
Left,-0.825,0,0,2.902251
Right,0,0,0,2.902251
Left,-0.825,0,0,2.921231
Right,0,0,0,2.921231
Left,-0.825,0,0,2.940166
Right,0,0,0,2.940166
Left,-0.772,0,0,2.964926
Right,0,0,0,2.964926
Left,-0.574,0,0,2.991388
Right,0,0,0,2.991388
Left,-0.282,0,0,3.017064
Right,0,0,0,3.017064
Left,0.243,0,0,3.054461
Right,0,0,0,3.054461
Left,0.561,0,0,3.080445
Right,0,0,0,3.080445
Left,0.64,0,0,3.106158
Right,0,0,0,3.106158
Left,0.644,0,0,3.127512
Right,0,0,0,3.127512
Left,0.644,0,0,3.146204
Right,0,0,0,3.146204
Left,0.644,0,0,3.164588
Right,0,0,0,3.164588
Left,0.644,0,0,3.188231
Right,0,0,0,3.188231
Left,0.644,0,0,3.21934
Right,0,0,0,3.21934
Left,0.644,0,0,3.240598
Right,0,0,0,3.240598
Left,0.644,0,0,3.265191
Right,0,0,0,3.265191
Left,0.644,0,0,3.291148
Right,0,0,0,3.291148
Left,0.644,0,0,3.317794
Right,0,0,0,3.317794
Left,0.644,0,0,3.345867
Right,0,0,0,3.345867
Left,0.644,0,0,3.373029
Right,0,0,0,3.373029
Left,0.644,0,0,3.399211
Right,0,0,0,3.399211
Left,0.644,0,0,3.426124
Right,0,0,0,3.426124
Left,0.644,0,0,3.454537
Right,0,0,0,3.454537
Left,0.644,0,0,3.478006
Right,0,0,0,3.478006
Left,0.644,0,0,3.501967
Right,0,0,0,3.501967
Left,0.644,0,0,3.523891
Right,0,0,0,3.523891
Left,0.644,0,0,3.545771
Right,0,0,0,3.545771
Left,0.644,0,0,3.568482
Right,0,0,0,3.568482
Left,0.644,0,0,3.590427
Right,0,0,0,3.590427
Left,0.644,0,0,3.612043
Right,0,0,0,3.612043
Left,0.644,0,0,3.635034
Right,0,0,0,3.635034
Left,0.644,0,0,3.657432
Right,0,0,0,3.657432
Left,0.644,0,0,3.679343
Right,0,0,0,3.679343
Left,0.644,0,0,3.700348
Right,0,0,0,3.700348
